Campaign,Campaign Type,Campaign Status,Budget,Budget Type,Networks,Bid Strategy Type,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Ad Group Negative Keyword,Campaign Negative Keyword,Ad Status,Ad Type,Headline 1,Headline 1 Position,Headline 2,Headline 2 Position,Headline 3,Headline 3 Position,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 1 Position,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,modular adu,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,in law suite builder,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,in law suite builder,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,modular in law suite,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,modular in law suite,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,accessory dwelling unit builder ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,accessory dwelling unit builder ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,prefab adu massachusetts,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,prefab adu massachusetts,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,adu builder marshfield ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,adu builder marshfield ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,backyard adu marshfield,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,adu builder scituate ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,adu builder scituate ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,backyard adu scituate,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,adu builder duxbury ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,adu builder duxbury ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,backyard adu duxbury,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,adu builder hingham ma,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,adu builder hingham ma,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,backyard adu hingham,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano modular,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano modular,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano modular builders,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano modular builders,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano builders,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano builders,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano contracting,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano contracting,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano homes,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano homes,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano marshfield,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Brand - Biviano,,,,,,,Brand,,,biviano marshfield,Phrase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,Modular Home Builder,,,,,,,Enabled,Responsive search ad,Free Modular Design Consult,1,South Shore Modular Builder,2,"4th-Gen Family Builder, 40+ Yr",3,Custom Modular Homes in MA,Move In 8-12 Weeks,Save 20-25% vs Stick-Built,No Weather Delays,"One Builder, Permit to Finish",Marshfield-Based Builder,Licensed & Insured in MA,"Custom, Not Cookie-Cutter",We Handle Permits & Site Work,Book a Free Consultation,Built on the South Shore,Modular Home Builder Near You,"South Shore family builder, 40+ yrs. Custom modular homes - permits to finish.",1,"Same quality as stick-built, 20-25% less, no weather delays. Move in 8-12 weeks.","One builder handles design, permits, engineering & build. Free design + budget consult.","Licensed & insured, 21 five-star reviews. Book your free modular consultation today.",free-consult,south-shore,https://www.bivianomodularbuilders.com/free-consultation/
Search - Modular - South Shore,,,,,,,New Construction Custom Home Builder,,,,,,,Enabled,Responsive search ad,Free Home Design Consult,1,South Shore Home Builder 40+Yr,2,4th-Gen Family Builder in MA,3,Build Your Custom Dream Home,"Move In 8-12 Weeks, Not Months",Save 20-25% vs Stick-Built,Custom Home Builder Near You,"One Builder, Start to Finish",Licensed & Insured in MA,"No Weather Delays, On Schedule",Marshfield-Based Builder,Quoted $1M+? A Better Way,Book a Free Consultation,We Handle Permits & Site Work,New Construction Done Right,"Building a new home on the South Shore? 4th-gen family builder, 40+ yrs. Free consult.",1,"Custom homes for 20-25% less than stick-built - same quality, move in 8-12 weeks.","One builder handles design, permits, site work & build. No contractor chaos.","Licensed & insured, 21 five-star reviews. Book your free design & budget consult.",free-consult,south-shore,https://www.bivianomodularbuilders.com/free-consultation/
Search - Modular - South Shore,,,,,,,Modular ADU In-Law,,,,,,,Enabled,Responsive search ad,Free ADU Design Consult,1,South Shore ADU Builder 40+ Yr,2,4th-Gen Family Builder in MA,3,Add a Modular In-Law Suite,Build an ADU in 8-12 Weeks,Rental Income or Family Space,Code-Compliant Modular ADUs,We Handle Permits & Site Work,Save 20-25% vs Stick-Built,"One Builder, Permit to Finish",Marshfield-Based ADU Builder,Licensed & Insured in MA,Book a Free ADU Consultation,"Backyard ADUs, Done Right",MA Accessory Dwelling Units,Add a code-compliant modular ADU - rental income or family space. Permits handled.,1,"South Shore family builder, 40+ yrs. In-law suites & ADUs in as little as 8-12 weeks.","One builder handles design, permits, site work & build. Free ADU design + budget consult.","Licensed & insured, 21 five-star reviews. Book your free ADU consultation today.",modular,adu,https://www.bivianomodularbuilders.com/free-consultation/
Search - Brand - Biviano,,,,,,,Brand,,,,,,,Enabled,Responsive search ad,Biviano Modular Builders,1,"4th-Gen Family Builder, MA",2,Official Site - Free Consult,3,Custom Modular Homes in MA,Marshfield's Modular Builder,Move In 8-12 Weeks,Save 20-25% vs Stick-Built,40+ Years on the South Shore,"One Builder, Permit to Finish",Licensed & Insured in MA,Book a Free Consultation,21 Five-Star Reviews,The Biviano Modular Brand,Family-Built Since the 1960s,"Custom, Not Cookie-Cutter",Biviano Modular Builders - the modular brand of the Biviano family. Building since the 1960s.,1,"Custom modular homes on the South Shore, 20-25% less than stick-built. Free consultation.",4th-generation Marshfield family builder. One builder handles your whole build.,"Licensed & insured, 21 five-star reviews. Book your free design & budget consult.",biviano,modular,https://www.bivianomodularbuilders.com/free-consultation/
Search - Modular - South Shore,,,,,,,,,,,,,furniture,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,couch,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,sectional,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,sofa bed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,shelving,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,bookcase,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,closet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,wardrobe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,cabinets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular kitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,kitchen cabinets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,workstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,drawers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,ikea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,decor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,mobile home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,manufactured home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,manufactured housing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,trailer home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,double wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,single wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,park model,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,panelized,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,log home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,log cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,yurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,barndominium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,container home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,shipping container,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,tiny home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,tiny house,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,shed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,garage kit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,pole barn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,barn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,kit home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,kit homes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,fema trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular building,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular buildings,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular office,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular classroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,portable building,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,portable classroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,jobsite trailer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular data center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular synth,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular synthesizer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular sofa system,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular shelving system,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular belt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,modular conveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,job,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,jobs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search - Modular - South Shore,,,,,,,,,,,,,jobsite,,,,,,,,,,,,,,,,,,,,,,,,,,,,
